"","ï..Prevalence.Estimate.Name","Rapid.Review..Study","URL","Source.Type","Country","State.Province","County","City","Sampling.Start.Date","Sampling.End.Date","Sample.Frame..groups.of.interest.","Sampling.Method","Denominator.Value","Serum.positive.prevalence","Serum.pos.prevalence..95pct.CI.Lower","Serum.pos.prevalence..95pct.CI.Upper","JBI.9","Overall.Risk.of.Bias..JBI.","Response.Rate..","RR.obtained.from.email.correspondence","Email","Notes","X","url1","start_date","region","IR_lower","IR_upper","RR","prob_sampling","sample_size","reported"
"20","200603_WuhantoUSAtravel_CDC_PassengersGenPop","200603_WuhantoUSAtravel_CDC","https://wwwnc.cdc.gov/eid/article/26/9/20-1590_article","Journal article","China","Hubei","","Wuhan","28-Jan-20","28-Jan-20","Household and community samples","Convenience","186","0.54%","","","Yes","Moderate","99.00%","","","","","https://wwwnc.cdc.gov/eid/article/26/9/20-1590_article",2020-01-28,"Other",NA,NA,99,FALSE,186,TRUE
"46","200616_Wuhan_ZhongnanHospitalofWuhanUniversity_GenPopWorkers_IgG","200616_Wuhan_ZhongnanHospitalofWuhanUniversity_2_Genpop","https://www.researchsquare.com/article/rs-99748/v1","Preprint","China","Hubei","","Wuhan","29-Feb-20","29-Apr-20","Household and community samples","Convenience","19555","4.60%","4.30%","4.90%","Unclear","Moderate","","Emailed","liutaozaiwuda@whu.edu.cn <liutaozaiwuda@whu.edu.cn>;","","","https://www.researchsquare.com/article/rs-99748/v1",2020-02-29,"Other",4.3,4.9,NA,FALSE,19555,FALSE
"113","200723_Wuhan_HubeiProvincialHospital_GenpopPopAdj","200723_Wuhan_ChineseCenterforDiseaseControlandPrevention","https://www.medrxiv.org/content/10.1101/2020.06.16.20132423v1","Preprint","China","Hubei","","Wuhan","25-Mar-20","28-Apr-20","Household and community samples","Self-referral","18712","3.27%","3.02%","3.52%","Yes","Moderate","85.50%","","","","","https://www.medrxiv.org/content/10.1101/2020.06.16.20132423v1",2020-03-25,"Other",3.02,3.52,85.5,FALSE,18712,TRUE
"120","201023_Wuhan_HuazhongUniversityofScienceandTechnology_Overall_unadj","201023_Wuhan_HuazhongUniversityofScienceandTechnology","https://dx.doi.org/10.1001/jamanetworkopen.2020.25717","Journal article","China","Hubei","","Wuhan","27-Mar-20","26-May-20","Household and community samples","Unclear","35040","3.90%","3.70%","4.10%","Unclear","High","","Emailed","lvyongman@126.com <lvyongman@126.com>;","","","https://dx.doi.org/10.1001/jamanetworkopen.2020.25717",2020-03-27,"Other",3.7,4.1,NA,NA,35040,FALSE
"125","200609_Milan_uniMilan_TotalAb","200609_Milan_UniversityofMilan","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7280100/pdf/main.pdf","Journal article","Italy","Lombardy","Milan","Milan","30-Mar-20","31-Mar-20","Household and community samples","Self-referral","197","5.60%","","","Yes","High","98.50%","","","","","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7280100/pdf/main.pdf",2020-03-30,"Europe",NA,NA,98.5,FALSE,197,TRUE
"126","201128_Netherlands_CentreforInfectiousDiseaseControl_genpop_overall","201128_Netherlands_CentreforInfectiousDiseaseControl_genpop_overall","https://dx.doi.org/10.1136/jech-2020-215678","Journal article","Netherlands","","","","31-Mar-20","11-May-20","Household and community samples","Stratified probability","2637","2.80%","2.10%","3.70%","Unclear","Low","","Emailed","fiona.van.der.klis@rivm.nl <fiona.van.der.klis@rivm.nl>;","","","https://dx.doi.org/10.1136/jech-2020-215678",2020-03-31,"Europe",2.1,3.7,NA,TRUE,2637,FALSE
"131","200602_Gangelt_UniversityofBonn_ GenPopUnadj_TestAdj_IgG","200602_Gangelt_UniversityofBonn","https://www.medrxiv.org/content/10.1101/2020.05.04.20090076v1","Preprint","Germany","Heinsberg","","Gangelt","31-Mar-20","06-Apr-20","Household and community samples","Simplified probability","919","14.11%","11.15%","17.27%","Yes","Low","91.30%","","","","","https://www.medrxiv.org/content/10.1101/2020.05.04.20090076v1",2020-03-31,"Europe",11.15,17.27,91.3,TRUE,919,TRUE
"141","20 1222_Brazzaville_FondationCongolaisePourLaRechercheMÃ©dicale_GenPop_Overall","201222_Brazzaville_FondationCongolaisePourLaRechercheMÃ©dicale","https://dx.doi.org/10.1016/j.ijid.2020.12.065","Preprint","Congo","","","Brazzaville","01-Apr-20","31-Jul-20","Household and community samples","Self-referral","754","19.70%","","","Unclear","High","","Emailed","fntoumi@fcrm-congo.com <fntoumi@fcrm-congo.com>;","","","https://dx.doi.org/10.1016/j.ijid.2020.12.065",2020-04-01,"Other",NA,NA,NA,FALSE,754,FALSE
"149","200702_Stockhom_KTHRoyalInstituteofTechnology_genpop","200702_Stockholm_KTHRoyalInstituteofTechnology","https://www.medrxiv.org/content/10.1101/2020.07.01.20143966v1","Preprint","Sweden","Uppland","","Stockholm","01-Apr-20","21-May-20","Household and community samples","Simplified probability","878","5.40%","","","No","Moderate","43.90%","","","","","https://www.medrxiv.org/content/10.1101/2020.07.01.20143966v1",2020-04-01,"Europe",NA,NA,43.9,TRUE,878,TRUE
"153","200426_Guilan_GuilanUniversity_GenPop_PopAdj","200426_Guilan_GuilanUniversity","https://www.medrxiv.org/content/10.1101/2020.04.26.20079244v1","Preprint","Iran (Islamic Republic of)","Guilan","Anzali, Astara, Lahijan, Rudbar, Rasht","","01-Apr-20","30-Apr-20","Household and community samples","Stratified probability","528","21.00%","14.00%","29.00%","Yes","Moderate","95.80%","","","","","https://www.medrxiv.org/content/10.1101/2020.04.26.20079244v1",2020-04-01,"Other",14,29,95.8,TRUE,528,TRUE
"158","201222_Vienna_MedicalUniversityofVienna_overall","201222_Vienna_MedicalUniversityofVienna","10.1101/2020.12.22.20248604","Preprint","Austria","","","Vienna","02-Apr-20","17-Apr-20","Household and community samples","Convenience","1655","10.15%","","","Unclear","High","","Emailed","tuliodna@gmail.com ","","","10.1101/2020.12.22.20248604",2020-04-02,"Europe",NA,NA,NA,FALSE,1655,FALSE
"162","200430_SantaClaraCounty_UniversityofStanford_GenPop_UnAdj","200430_SantaClaraCounty_UniversityofStanford","https://www.medrxiv.org/content/10.1101/2020.04.14.20062463v2","Preprint","United States of America","California","Santa Clara Valley","","03-Apr-20","04-Apr-20","Household and community samples","Stratified probability","3330","1.50%","1.10%","2.00%","Unclear","High","81.2%.","Emailed","ebd@stanford.edu <ebd@stanford.edu>;","","","https://www.medrxiv.org/content/10.1101/2020.04.14.20062463v2",2020-04-03,"US",1.1,2,81.2,TRUE,3330,FALSE
"193","200518_LosAngelesCounty_StanfordUniversity_GenPopWeighted_TestAdj","200518_LosAngelesCounty_StanfordUniversity","https://jamanetwork.com/journals/jama/fullarticle/2766367","Journal article","United States of America","California","Los Angeles County","","10-Apr-20","14-Apr-20","Household and community samples","Stratified probability","863","4.65%","2.52%","7.07%","No","Moderate","50.90%","","","","","https://jamanetwork.com/journals/jama/fullarticle/2766367",2020-04-10,"US",2.52,7.07,50.9,TRUE,863,TRUE
"195","201221_Guilan_TehranUniversityofMedicalSciences_overall","201221_Guilan_TehranUniversityofMedicalSciences","https://dx.doi.org/10.3201/eid2702.201960","Journal article","Iran (Islamic Republic of)","Guilan","","","11-Apr-20","19-Apr-20","Household and community samples","Stratified probability","528","22.20%","16.40%","28.50%","Unclear","Low","90%","Submitted","Mohammad Ali Mansournia","","","https://dx.doi.org/10.3201/eid2702.201960",2020-04-11,"Other",16.4,28.5,90,TRUE,528,FALSE
"196","200708_RioGrandeDoSul_UniversidadeFederalDePelotas_Round1_GenPop","200708_RioGrandeDeSul_UniversidadeFederalDePelotas_Round1","https://www.nature.com/articles/s41591-020-0992-3","Journal article","Brazil","Rio Grande do Sul","","Ijui, Passo Fundo, Caxias, Canoas, Porto Alegre, Pelotas, Santa Maria, Santa Cruz do Sul, Uruguaiana","11-Apr-20","13-Apr-20","Household and community samples","Stratified probability","4151","0.05%","0.01%","0.17%","Yes","Low","92.20%","","","","","https://www.nature.com/articles/s41591-020-0992-3",2020-04-11,"Other",0.01,0.17,92.2,TRUE,4151,TRUE
"223","201202_DominicanRepublic_UniversidadIberoamericana_genpop_IgG","201202_DominicanRepublic_UniversidadIberoamericana","https://dx.doi.org/10.4269/ajtmh.20-0907","Journal article","Dominican Republic","","","","15-Apr-20","15-Jun-20","Household and community samples","Simplified probability","12897","5.50%","","","Unclear","High","n/a-Does not want to comment","Emailed","r.paulino1@unibe.edu.do","","","https://dx.doi.org/10.4269/ajtmh.20-0907",2020-04-15,"Other",NA,NA,NA,TRUE,12897,FALSE
"225","200518_Luxembourg_LuxembourgInstituteofHealth_GenPop_IgGPopAdj","200518_Luxembourg_LuxembourgInstituteofHealth","https://www.medrxiv.org/content/10.1101/2020.05.11.20092916v1","Preprint","Luxembourg","","","","15-Apr-20","05-May-20","Household and community samples","Stratified probability","1820","2.09%","1.37%","2.82%","Unclear","Moderate","","Emailed","rejko.krueger@lih.lu <rejko.krueger@lih.lu>;","","","https://www.medrxiv.org/content/10.1101/2020.05.11.20092916v1",2020-04-15,"Europe",1.37,2.82,NA,TRUE,1820,FALSE
"226","200923_Beijing_PekingUniversity_Overall","200923_Beijing_PekingUniversity","https://www.medrxiv.org/content/10.1101/2020.09.23.20197756v1","Preprint","China","Hebei","","Beijing","15-Apr-20","18-Apr-20","Household and community samples","Stratified probability","2184","0.17%","","","Unclear","Moderate","","Emailed","bjcdcxm@126.com <bjcdcxm@126.com>;","","","https://www.medrxiv.org/content/10.1101/2020.09.23.20197756v1",2020-04-15,"Other",NA,NA,NA,TRUE,2184,FALSE
