"","Prevalence.Estimate.Name","Rapid.Review..Study","URL","Source.Type","Country","State.Province","County","City","Sampling.Start.Date","Sampling.End.Date","Sample.Frame..groups.of.interest.","Sampling.Method","Denominator.Value","Serum.positive.prevalence","Serum.pos.prevalence..95pct.CI.Lower","Serum.pos.prevalence..95pct.CI.Upper","JBI.9","Overall.Risk.of.Bias..JBI.","Response.Rate..","RR.obtained.from.email.correspondence","Email","Notes","X","url1","start_date","RR","prob_sampling","sample_size"
"20","200603_WuhantoUSAtravel_CDC_PassengersGenPop","200603_WuhantoUSAtravel_CDC","https://wwwnc.cdc.gov/eid/article/26/9/20-1590_article","Journal article","China","Hubei","","Wuhan","28-Jan-20","28-Jan-20","Household and community samples","Convenience","186","0.54%","","","Yes","Moderate","99.00%","","","","","https://wwwnc.cdc.gov/eid/article/26/9/20-1590_article",2020-01-28,99,FALSE,186
"113","200723_Wuhan_HubeiProvincialHospital_GenpopPopAdj","200723_Wuhan_ChineseCenterforDiseaseControlandPrevention","https://www.medrxiv.org/content/10.1101/2020.06.16.20132423v1","Preprint","China","Hubei","","Wuhan","25-Mar-20","28-Apr-20","Household and community samples","Self-referral","18712","3.27%","3.02%","3.52%","Yes","Moderate","85.50%","","","","","https://www.medrxiv.org/content/10.1101/2020.06.16.20132423v1",2020-03-25,85.5,FALSE,18712
"125","200609_Milan_uniMilan_TotalAb","200609_Milan_UniversityofMilan","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7280100/pdf/main.pdf","Journal article","Italy","Lombardy","Milan","Milan","30-Mar-20","31-Mar-20","Household and community samples","Self-referral","197","5.60%","","","Yes","High","98.50%","","","","","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7280100/pdf/main.pdf",2020-03-30,98.5,FALSE,197
"131","200602_Gangelt_UniversityofBonn_ GenPopUnadj_TestAdj_IgG","200602_Gangelt_UniversityofBonn","https://www.medrxiv.org/content/10.1101/2020.05.04.20090076v1","Preprint","Germany","Heinsberg","","Gangelt","31-Mar-20","06-Apr-20","Household and community samples","Simplified probability","919","14.11%","11.15%","17.27%","Yes","Low","91.30%","","","","","https://www.medrxiv.org/content/10.1101/2020.05.04.20090076v1",2020-03-31,91.3,TRUE,919
"149","200702_Stockhom_KTHRoyalInstituteofTechnology_genpop","200702_Stockholm_KTHRoyalInstituteofTechnology","https://www.medrxiv.org/content/10.1101/2020.07.01.20143966v1","Preprint","Sweden","Uppland","","Stockholm","01-Apr-20","21-May-20","Household and community samples","Simplified probability","878","5.40%","","","No","Moderate","43.90%","","","","","https://www.medrxiv.org/content/10.1101/2020.07.01.20143966v1",2020-04-01,43.9,TRUE,878
"153","200426_Guilan_GuilanUniversity_GenPop_PopAdj","200426_Guilan_GuilanUniversity","https://www.medrxiv.org/content/10.1101/2020.04.26.20079244v1","Preprint","Iran (Islamic Republic of)","Guilan","Anzali, Astara, Lahijan, Rudbar, Rasht","","01-Apr-20","30-Apr-20","Household and community samples","Stratified probability","528","21.00%","14.00%","29.00%","Yes","Moderate","95.80%","","","","","https://www.medrxiv.org/content/10.1101/2020.04.26.20079244v1",2020-04-01,95.8,TRUE,528
"193","200518_LosAngelesCounty_StanfordUniversity_GenPopWeighted_TestAdj","200518_LosAngelesCounty_StanfordUniversity","https://jamanetwork.com/journals/jama/fullarticle/2766367","Journal article","United States of America","California","Los Angeles County","","10-Apr-20","14-Apr-20","Household and community samples","Stratified probability","863","4.65%","2.52%","7.07%","No","Moderate","50.90%","","","","","https://jamanetwork.com/journals/jama/fullarticle/2766367",2020-04-10,50.9,TRUE,863
"196","200708_RioGrandeDoSul_UniversidadeFederalDePelotas_Round1_GenPop","200708_RioGrandeDeSul_UniversidadeFederalDePelotas_Round1","https://www.nature.com/articles/s41591-020-0992-3","Journal article","Brazil","Rio Grande do Sul","","Ijui, Passo Fundo, Caxias, Canoas, Porto Alegre, Pelotas, Santa Maria, Santa Cruz do Sul, Uruguaiana","11-Apr-20","13-Apr-20","Household and community samples","Stratified probability","4151","0.05%","0.01%","0.17%","Yes","Low","92.20%","","","","","https://www.nature.com/articles/s41591-020-0992-3",2020-04-11,92.2,TRUE,4151
"236","201228_Karachi_AgaKhanUniversity_Phase1DistrictMalir_PopTestAdj","201228_Karachi_AgaKhanUniversity_Phase1District Malir","https://www.medrxiv.org/content/10.1101/2020.07.28.20163451v4.full.pdf","Preprint","Pakistan","Sindh","","Karachi","15-Apr-20","25-Apr-20","Household and community samples","Simplified probability","500","0.20%","0.00%","0.70%","No","Low","56%","","","Complicated","","https://www.medrxiv.org/content/10.1101/2020.07.28.20163451v4.full.pdf",2020-04-15,56,TRUE,500
"253","201215_Iran_TehranUniversityofMedicalSciences_GenPop1_overall_PopTestAdj","201215_Iran_TehranUniversityofMedicalSciences_GenPop1","http://dx.doi.org/10.1016/S1473-3099%2820%2930858-6","Journal article","Iran (Islamic Republic of)","","","Ahvaz, Ardabil, Babol , Esfahan , Gorgan, Hamedan, Kerman, Kermanshah, Mashhad, Qom, Rasht, Sanandaj, Sari, Shiraz, Tabriz, Tehran, Urmia, Zahedan","17-Apr-20","02-Jun-20","Household and community samples","Stratified probability","3530","17.10%","14.60%","19.50%","Yes","Low","96.90%","","","8902 included in the study, divided between high risk occupations (5372) and GP (3530)/9181","","http://dx.doi.org/10.1016/S1473-3099%2820%2930858-6",2020-04-17,96.9,TRUE,3530
